;audio;transcript
0;01_27_2022_chunk_6.wav;Ed è tutto grazie per averci seguito. Il tg uno torna alle 8, buona giornata.
1;01_28_2022_chunk_1.wav;Un giorno dal tg uno la corsa al Quirinale comincerà alle 11, il quinto giorno di votazioni. Il centrodestra sarebbe orientato a votare uno dei nomi proposti nei giorni scorsi. Contrario a questa scelta il centrosinistra, che per protesta potrebbe uscire dall'Aula al momento del voto.
2;01_28_2022_chunk_1.wav;Intanto il presidente della Camera Roberto Fico.
3;01_28_2022_chunk_1.wav;Ha convocato alle 10:15 la Conferenza congiunta dei capigruppo di Camera e Senato per decidere se procedere a una doppia votazione giornaliera.
4;01_28_2022_chunk_2.wav;Cresce la tensione tra Stati Uniti e Russia sulla questione Ucraina telefonata tra Zelensky e Biden.
5;01_28_2022_chunk_2.wav;Per il Presidente americano c'è la possibilità concreta che i russi invadano l'Ucraina nel mese di Febbraio.
6;01_28_2022_chunk_3.wav;La situazione Covid in Italia rallenta la curva dei contagi, calano recovery e terapie intensive e si discute della possibilità di cambiare il sistema delle fasce a colori delle regioni e anche le regole che riguardano la scuola.
7;01_28_2022_chunk_3.wav;Intanto è arrivato l'OK dell'EMA alla pillola anti COVID di freezer.
8;01_28_2022_chunk_4.wav;Tamponi sospetti e Green pass fasulli chiuso un centro analisi in provincia di Trento e Stop a un secondo punto prelievi nel capoluogo Trentino.
9;01_28_2022_chunk_4.wav;5 le persone indagate.
10;01_28_2022_chunk_5.wav;Il tennis nella semifinale degli Australian Open, in campo Matteo Berrettini e Rafa Nadal. Il punteggio al momento è di due set a uno per lo spagnolo.
11;01_28_2022_chunk_6.wav;Ed è tutto grazie per averci seguito. Il tg uno torna alle 8, buona giornata.
12;02_16_2022_chunk_1.wav;Buongiorno dal Tg uno prima primi segnali di disgelo nella crisi Ucraina, oggi è il giorno indicato dall'intelligence americana per il possibile attacco russo, ma Mosca avrebbe già iniziato il parziale ritiro delle truppe schierate al confine. Per Biden, però, il rischio di un'invasione è ancora concreto e chiede conferme dell'effettivo ritiro oggi a Bruxelles.
13;02_16_2022_chunk_1.wav;Si riuniscono i ministri della difesa della NATO, ieri telefonata tra Draghi e il Presidente ucraino Zelensky.
14;02_16_2022_chunk_1.wav;Domani Di Maio andrà a Mosca.
15;02_16_2022_chunk_2.wav;Referendum per la Consulta è inammissibile il quesito sull'eutanasia legale, perchè non sarebbe preservata la tutela minima della vita umana
16;02_16_2022_chunk_2.wav;Delusione dell'associazione Coscioni che ha promosso il quesito plauso della Cei, oggi la Corte costituzionale si pronuncerà su altri 7 referendum, tra cui quello sulla depenalizzazione della cannabis.
17;02_16_2022_chunk_3.wav;Concessioni balneari dal 2024 si cambia, via libera del Consiglio dei ministri alla riforma del settore. Quelle attuali resteranno valide fino alla fine del prossimo anno.
18;02_16_2022_chunk_3.wav;Poi le spiagge italiane torneranno allo Stato che potrà riaffidarla mediante gare pubbliche. L'obiettivo? Garantire la concorrenza ed un uso più sostenibile del demanio marittimo.
19;02_16_2022_chunk_4.wav;L'eliminazione del Green pass alla fine dello Stato di emergenza il 31 Marzo e uno scenario possibile, ma è importante completare la campagna vaccinale con le terze dosi.
20;02_16_2022_chunk_4.wav;Lo ha detto il sottosegretario alla salute costa.
21;02_16_2022_chunk_4.wav;Intanto continua a flettere la curva 70.000 i nuovi casi, 388 i decessi e prosegue la diminuzione dei ricoveri in terapia intensiva.
22;02_16_2022_chunk_5.wav;Ora le Olimpiadi di Pechino è in corso la seconda manche dello slalom speciale, dove sono in gara tre azzurri, Alex Vinatzer, Giuliano Razzoli e Tommaso Sala.
23;02_16_2022_chunk_5.wav;Primi rientri degli azzurri in Italia
24;02_16_2022_chunk_6.wav;Ed è tutto grazie per averci seguito. Il tg uno torna alle 8, buona giornata.
